,id,age_diff,format_compat,warehouse,style_compat,rating_diff,online,score
186,186,0,2,0.0,2,0.0,0,-0.37326507696062583
144,144,8,1,0.0,1,7.491131874551343,0,-1.13626172469292
74,74,7,1,0.0,1,112.79268239945918,1,-1.564159466436806
101,101,5,1,0.0,2,308.4172456673747,0,-1.8282853502937366
6,6,1,2,0.0,1,169.84509706304686,1,-1.9924959809008853
160,160,1,2,0.0,1,181.60863774590973,1,-2.056772537667958
240,240,2,1,0.0,1,302.1601881491282,0,-2.0648247794540766
16,16,6,1,0.0,1,230.2653620081163,0,-2.1263366020444834
232,232,7,0,0.0,2,497.8323206619035,0,-2.2923105126426164
7,7,7,2,0.0,1,106.76604581555296,0,-2.363239821778241
21,21,5,2,0.0,1,172.15497073791937,0,-2.4933537590152404
220,220,4,1,0.0,2,469.81476715963083,0,-2.5965820749457396
149,149,14,2,0.0,1,13.377169790136008,1,-2.614180715673873
38,38,11,1,0.0,1,223.21573278442008,0,-2.6557528850712036
176,176,10,2,0.0,1,108.93355207172715,0,-2.7158446604628863
73,73,1,2,0.0,1,343.5250123244854,0,-2.9753793376953226
198,198,1,2,0.0,1,395.99513220947495,0,-3.262078617298771
204,204,5,2,0.0,2,450.1579026285459,1,-3.366997609269946
60,60,13,0,0.0,1,482.704200659295,0,-3.502662464345379
223,223,6,1,0.0,1,493.26830123755883,1,-3.5295095392347844
172,172,11,2,0.0,2,359.08152129217603,0,-3.58476268080401
194,194,11,2,0.0,1,260.4965024321633,0,-3.657579131112011
147,147,2,2,0.0,1,520.5602472256622,1,-4.022407729205914
206,206,8,1,0.0,2,666.2177586367706,0,-4.12408618417292
201,201,1,1,4.025160546647347,2,41.003352828466404,0,-4.24788434030314
59,59,1,0,4.025160546647347,2,209.37693252634188,0,-4.369763432346991
128,128,2,1,0.0,1,742.9853479423665,0,-4.473514830493049
244,244,4,2,0.0,2,705.6245862638447,1,-4.649292797779578
226,226,1,2,0.0,2,779.8128218370538,1,-4.713899435341887
200,200,1,1,4.025160546647347,1,47.43627250794793,0,-4.89452389966269
66,66,0,2,0.0,1,719.2073700446361,0,-4.914538799294406
202,202,9,2,0.0,1,542.1295674528884,0,-4.969261536661249
164,164,1,2,4.025160546647347,2,47.79588224082238,1,-5.049233486008709
69,69,11,2,0.0,2,636.3013444961554,0,-5.099505238636686
8,8,5,2,0.0,1,659.0961551924366,0,-5.154024005211836
24,24,1,1,0.0,1,907.641187816413,0,-5.259615164796136
126,126,7,1,0.0,2,906.4869555899476,1,-5.289453691291355
89,89,0,1,0.0,1,962.4627087785706,0,-5.445575454121314
136,136,11,1,0.0,1,767.9425252449809,0,-5.632166495740639
224,224,14,2,0.0,2,699.1788584359402,1,-5.749944626297822
174,174,13,2,0.0,1,609.7653271418218,0,-5.793175246797876
228,228,1,2,0.0,1,867.3282132419037,1,-5.803577552324026
27,27,18,2,0.0,1,540.6186548790969,0,-5.983290275247379
63,63,9,0,0.0,1,1032.7128081746278,0,-6.053587529434208
80,80,7,1,4.025160546647347,2,266.87236252479295,1,-6.129678644479377
87,87,13,2,0.0,2,793.2226050360351,0,-6.184104935754625
211,211,12,2,0.0,1,720.0182883269066,0,-6.282015613662979
196,196,6,2,0.0,2,1001.8500590671539,0,-6.528945343452337
239,239,6,2,4.025160546647347,1,104.46691614387112,1,-6.5383123367745775
68,68,3,2,0.0,1,956.8597941494564,0,-6.553844649005291
231,231,11,2,0.0,1,811.5261494083014,0,-6.668431844513102
119,119,6,0,4.025160546647347,1,453.5906343714295,0,-6.883584515677742
43,43,3,0,4.025160546647347,2,633.1872979663545,0,-6.912658141494566
246,246,1,1,4.025160546647347,1,417.4684290715867,0,-6.916397547930357
181,181,5,0,4.025160546647347,1,495.6135709451636,0,-6.999612719233955
52,52,0,2,4.025160546647347,2,427.7207498282072,0,-7.0454621044180445
64,64,11,2,4.025160546647347,1,153.69796042240876,0,-7.4091368263172255
207,207,3,2,0.0,1,1198.7024347824977,1,-7.84139668849077
195,195,10,0,4.025160546647347,2,788.801206011554,0,-8.558050200159744
158,158,12,2,4.025160546647347,1,359.49843447574256,0,-8.647227756686908
182,182,4,1,4.025160546647347,1,673.8768983849981,0,-8.658187338240186
10,10,8,2,4.025160546647347,1,475.8161770476114,1,-8.794557026621296
249,249,16,2,0.0,1,1097.6312553777793,0,-8.799659817249086
208,208,12,1,4.025160546647347,2,650.6758607873879,0,-8.828623247767524
222,222,3,0,4.025160546647347,1,897.8022222864821,0,-8.970016694812866
161,161,5,0,4.025160546647347,1,864.4343484038549,0,-9.01486733332605
106,106,7,2,4.025160546647347,1,563.3593045568465,0,-9.193197638116459
169,169,2,2,4.025160546647347,1,683.0164279304028,1,-9.245186286899678
17,17,15,2,4.025160546647347,1,439.58232295211303,0,-9.425571486397562
